Date,Temperature,Humidity,Rainfall,Irrigation,Fertilizer,Yield,Waste_Rate
2024-02-01,32.9,60.1,9.0,147.2,21.6,86.91,8.51
2024-02-02,29.3,67.3,5.8,154.5,20.9,83.71,8.06
2024-02-03,27.3,59.2,6.5,150.1,23.0,86.18,7.24
2024-02-04,31.2,62.8,7.8,148.1,18.1,84.93,8.64
2024-02-05,27.2,57.1,8.3,158.2,23.5,83.59,8.71
2024-02-06,30.2,58.9,8.3,159.0,21.9,91.54,8.62
2024-02-07,25.9,64.2,7.4,149.2,19.5,80.73,7.43
2024-02-08,27.3,56.9,7.2,143.1,22.3,85.68,8.29
2024-02-09,30.5,64.1,6.7,157.7,17.8,82.97,7.47
2024-02-10,31.7,60.6,6.8,149.5,18.4,85.36,9.29
2024-02-11,30.6,56.7,5.4,157.2,18.8,86.0,8.1
2024-02-12,30.2,60.2,5.1,143.6,18.9,84.95,9.28
2024-02-13,29.9,61.0,5.9,158.2,17.9,85.08,9.07
2024-02-14,27.6,59.9,5.7,147.9,22.4,84.88,8.09
2024-02-15,29.3,53.2,5.4,157.9,19.5,83.38,8.04
2024-02-16,29.9,55.6,6.5,154.5,20.7,83.92,8.75
2024-02-17,33.0,56.9,6.7,149.9,18.9,86.68,8.23
2024-02-18,31.7,57.3,5.7,152.9,16.4,85.24,8.71
2024-02-19,27.5,59.3,7.1,158.6,20.5,82.8,8.23
2024-02-20,31.8,57.8,4.4,155.9,16.2,85.29,7.84
2024-02-21,30.5,53.2,5.3,158.5,19.9,88.16,7.53
2024-02-22,30.0,58.2,4.7,165.7,17.3,81.36,8.78
2024-02-23,32.6,58.8,3.5,148.2,24.0,85.85,8.52
2024-02-24,33.6,58.6,5.3,164.3,21.8,88.52,8.47
2024-02-25,33.4,60.0,5.2,157.0,20.2,87.59,9.09
2024-02-26,30.0,59.2,6.7,152.1,22.5,84.72,9.15
2024-02-27,31.1,58.0,5.8,150.2,18.3,86.53,8.51
2024-02-28,32.5,56.3,4.1,156.1,21.1,87.55,8.6
2024-02-29,33.8,51.4,6.9,161.8,20.4,89.25,8.92
2024-03-01,31.0,57.6,6.2,156.7,20.5,82.87,7.94
2024-03-02,31.6,56.9,5.5,165.1,22.5,85.38,8.79
2024-03-03,29.9,57.0,4.6,150.4,21.5,85.06,8.94
2024-03-04,29.7,52.2,3.8,157.8,20.6,80.43,9.04
2024-03-05,33.8,52.8,4.4,151.7,16.7,87.27,7.83
2024-03-06,35.0,59.1,5.8,160.0,18.1,87.13,8.38
2024-03-07,32.2,55.7,6.5,162.7,19.8,93.47,8.2
2024-03-08,34.4,57.8,6.1,156.3,20.2,92.78,8.78
2024-03-09,33.1,55.8,4.0,145.5,17.7,84.06,9.03
2024-03-10,31.2,55.8,3.3,159.7,24.8,87.82,9.52
2024-03-11,33.2,58.4,4.5,161.0,23.0,90.79,8.52
2024-03-12,35.6,54.0,2.5,160.9,21.2,92.88,8.69
2024-03-13,32.5,55.8,4.6,165.2,20.1,83.85,9.32
2024-03-14,35.8,54.1,4.0,153.8,19.6,84.9,9.02
2024-03-15,27.4,54.1,3.6,162.6,18.1,80.27,9.28
2024-03-16,34.4,54.4,2.4,165.3,20.2,89.27,9.05
2024-03-17,32.9,56.0,4.5,150.5,20.5,87.44,8.19
2024-03-18,32.2,53.8,3.4,161.1,17.5,86.92,8.13
2024-03-19,33.0,59.0,2.7,157.0,20.7,83.87,8.08
2024-03-20,28.9,52.5,0.9,159.2,19.7,78.04,9.15
2024-03-21,32.4,54.6,3.7,161.4,16.2,85.93,9.38
2024-03-22,33.6,53.8,5.4,157.3,18.3,85.03,9.66
2024-03-23,35.9,59.4,5.2,156.4,19.2,84.3,9.24
2024-03-24,31.9,55.7,3.0,160.0,23.8,88.22,9.39
2024-03-25,31.3,58.2,2.8,154.4,21.1,86.71,8.51
2024-03-26,32.0,50.6,3.8,154.5,17.3,84.17,8.19
2024-03-27,34.8,55.8,2.3,163.3,21.0,87.69,9.35
2024-03-28,33.6,57.7,3.5,154.2,16.9,84.37,9.04
2024-03-29,31.9,55.3,3.9,163.3,22.2,86.82,8.82
2024-03-30,34.0,58.2,4.3,162.3,19.1,84.42,9.0
2024-03-31,33.2,53.4,2.9,151.4,19.8,84.65,9.01
2024-04-01,34.9,59.2,2.7,156.6,22.7,90.01,9.55
2024-04-02,31.6,61.9,2.0,166.0,17.4,84.06,9.5
2024-04-03,32.3,53.9,2.0,155.1,17.2,84.14,9.14
2024-04-04,32.2,53.7,2.5,157.6,18.8,83.07,9.26
2024-04-05,30.0,59.4,3.0,162.2,22.1,84.87,9.01
2024-04-06,33.6,59.8,3.5,163.8,17.0,80.85,8.6
2024-04-07,33.5,53.5,1.7,158.6,14.3,83.59,9.3
2024-04-08,32.9,53.8,4.0,156.8,19.1,89.02,8.09
2024-04-09,32.4,54.3,2.1,166.9,21.1,84.23,9.39
2024-04-10,30.1,51.1,2.3,168.4,22.4,85.37,8.19
2024-04-11,32.0,52.4,1.5,164.6,19.1,86.1,9.03
2024-04-12,32.2,52.2,0.0,160.0,19.2,87.32,8.54
2024-04-13,31.2,52.9,3.0,155.5,22.3,85.5,9.06
2024-04-14,32.5,55.2,2.8,155.3,16.3,82.08,8.82
2024-04-15,33.6,56.0,1.7,162.0,19.2,82.31,8.12
2024-04-16,36.5,60.0,2.0,161.4,20.4,89.13,9.2
2024-04-17,33.0,52.4,2.4,166.2,20.9,91.8,8.58
2024-04-18,33.1,58.4,0.2,162.3,19.0,85.67,9.42
2024-04-19,32.4,54.9,1.2,151.5,20.1,84.94,8.91
2024-04-20,28.7,55.4,2.5,164.1,15.0,80.95,8.94
2024-04-21,32.4,57.7,0.3,153.7,18.7,83.78,8.48
2024-04-22,32.6,52.3,1.8,156.7,20.9,84.82,8.59
2024-04-23,37.3,56.9,0.1,159.7,18.0,89.45,8.88
2024-04-24,32.0,56.3,1.9,168.3,20.1,86.48,9.29
2024-04-25,32.9,57.4,1.3,173.8,20.9,87.44,9.76
2024-04-26,32.2,56.8,0.0,161.1,19.3,82.57,8.56
2024-04-27,29.8,63.4,2.4,157.0,20.3,85.61,9.31
2024-04-28,34.4,54.2,0.4,160.4,18.1,87.23,7.93
2024-04-29,33.5,54.6,0.3,162.0,19.6,85.07,8.39
2024-04-30,33.6,54.4,1.2,155.8,21.2,88.98,8.47
2024-05-01,30.1,54.7,2.1,166.2,20.3,83.73,8.12
2024-05-02,34.6,54.5,0.0,158.2,18.8,84.65,8.25
2024-05-03,29.0,60.1,0.9,159.4,20.4,80.93,9.03
2024-05-04,32.9,60.9,1.2,160.0,21.4,82.69,8.82
2024-05-05,36.0,55.0,1.4,158.6,15.9,86.9,9.2
2024-05-06,29.6,54.3,0.9,160.5,22.3,81.04,9.19
2024-05-07,30.3,58.3,0.3,153.0,19.3,79.88,9.03
2024-05-08,31.6,55.4,0.0,153.1,20.9,80.33,9.28
2024-05-09,30.3,59.0,0.6,150.2,22.4,83.78,8.84
2024-05-10,28.1,57.9,0.0,157.7,17.3,79.36,8.25
2024-05-11,31.2,52.8,0.0,159.2,18.6,82.95,9.47
2024-05-12,28.9,62.1,0.8,157.3,19.4,79.3,8.53
2024-05-13,31.9,63.0,1.2,163.2,18.4,81.34,8.43
2024-05-14,29.0,55.9,0.0,154.6,23.5,84.99,8.78
2024-05-15,33.8,56.7,0.0,157.7,18.3,83.89,8.56
2024-05-16,29.1,58.8,0.8,148.7,18.9,81.48,8.62
2024-05-17,29.9,59.1,2.2,151.9,20.4,81.3,8.96
2024-05-18,32.1,60.2,0.1,157.1,17.6,83.16,9.13
2024-05-19,27.9,64.3,0.0,157.6,19.2,82.61,8.39
2024-05-20,30.7,57.9,0.0,151.6,20.6,84.45,8.68
2024-05-21,32.8,56.2,1.3,152.5,19.3,83.95,9.45
2024-05-22,26.8,54.6,0.0,145.0,19.8,80.0,9.05
2024-05-23,30.3,56.7,0.0,150.5,18.9,81.49,9.95
2024-05-24,30.3,58.9,0.0,156.5,17.0,81.09,9.5
2024-05-25,31.3,64.5,0.0,154.6,20.6,82.67,9.51
2024-05-26,27.1,57.7,0.0,154.0,23.5,82.02,8.12
2024-05-27,26.8,60.1,1.3,151.4,20.0,80.42,9.12
2024-05-28,30.4,59.5,0.0,150.9,20.5,80.73,8.89
2024-05-29,29.8,63.3,0.0,147.3,21.4,80.13,8.62
2024-05-30,29.6,67.4,0.0,153.8,17.5,76.97,8.97
2024-05-31,29.7,58.4,0.0,152.1,23.4,80.94,9.36
2024-06-01,27.5,58.7,0.4,152.2,20.4,78.26,9.06
2024-06-02,29.2,63.4,0.0,146.8,23.3,83.07,8.44
2024-06-03,29.2,62.5,0.0,138.4,18.5,77.54,9.25
2024-06-04,27.1,66.1,2.6,154.3,23.6,83.4,8.36
2024-06-05,32.1,62.5,0.0,146.1,21.6,84.14,9.07
2024-06-06,29.2,59.8,0.0,143.9,21.1,77.63,8.73
2024-06-07,25.8,62.8,0.0,151.3,20.5,80.03,8.66
2024-06-08,29.3,64.5,0.4,145.6,19.5,82.12,9.24
2024-06-09,25.9,63.8,0.0,152.5,22.4,78.03,8.26
2024-06-10,29.3,63.1,0.0,150.0,20.3,82.17,9.85
2024-06-11,30.0,64.9,0.1,150.0,16.1,77.44,7.98
2024-06-12,25.9,65.4,0.0,139.4,17.8,76.16,8.48
2024-06-13,29.3,66.2,1.1,152.0,19.6,78.55,9.01
2024-06-14,28.1,64.1,0.2,146.9,20.6,76.65,9.12
2024-06-15,28.8,61.9,0.0,143.4,19.9,79.46,8.81
2024-06-16,30.8,63.0,0.4,145.7,22.4,83.31,8.87
2024-06-17,26.4,66.3,0.0,135.7,16.1,74.17,9.0
2024-06-18,25.2,60.4,0.0,146.3,20.3,75.63,8.64
2024-06-19,24.8,64.1,0.0,138.8,16.4,73.54,9.44
2024-06-20,24.8,62.0,0.0,136.8,21.5,78.04,9.16
2024-06-21,26.1,63.5,0.0,135.6,19.8,77.22,9.22
2024-06-22,26.8,67.4,0.1,148.5,20.8,79.51,8.32
2024-06-23,26.6,64.3,0.0,139.4,18.3,75.62,8.76
2024-06-24,27.5,64.0,0.0,149.9,22.6,83.51,8.68
2024-06-25,25.8,60.0,0.0,139.2,22.1,76.66,8.27
2024-06-26,28.5,66.5,0.0,133.0,21.2,80.49,9.04
2024-06-27,25.0,66.3,1.1,135.6,19.7,78.71,8.43
2024-06-28,30.8,71.1,0.0,147.0,21.2,82.94,9.25
2024-06-29,26.5,63.8,0.0,139.7,18.6,76.71,8.26
2024-06-30,23.4,65.6,0.4,137.4,21.7,75.21,9.54
2024-07-01,22.8,65.8,0.0,140.6,23.3,78.95,8.24
2024-07-02,25.8,70.0,0.0,142.0,22.1,75.41,8.88
2024-07-03,24.2,65.1,0.0,144.7,18.5,73.62,9.12
2024-07-04,25.9,66.4,0.0,146.0,20.7,77.43,8.49
2024-07-05,25.3,67.6,0.0,136.7,17.4,77.36,9.19
2024-07-06,24.1,66.5,0.0,131.5,21.1,76.59,8.11
2024-07-07,22.4,64.8,0.2,135.7,20.9,72.98,9.39
2024-07-08,20.9,66.9,1.6,138.7,16.3,70.79,8.55
2024-07-09,22.9,69.7,0.0,132.3,17.7,71.34,8.39
2024-07-10,25.4,63.5,0.0,132.0,19.4,74.77,8.61
2024-07-11,24.0,67.2,0.0,138.1,19.4,77.12,9.12
2024-07-12,20.9,64.9,0.0,135.8,17.6,68.93,8.34
2024-07-13,23.6,70.7,0.0,135.9,20.8,78.39,8.33
2024-07-14,23.9,62.7,0.0,131.6,20.5,77.36,8.61
2024-07-15,21.3,65.8,0.0,133.9,19.6,75.09,8.05
2024-07-16,23.2,68.8,0.5,130.1,18.5,72.4,9.58
2024-07-17,22.9,72.5,0.0,138.8,22.1,75.12,8.4
2024-07-18,20.3,67.8,0.3,139.2,23.3,71.85,9.01
2024-07-19,23.2,66.5,0.5,124.5,19.0,72.41,8.78
2024-07-20,23.5,73.9,0.0,128.8,18.8,73.95,8.21
2024-07-21,24.4,64.1,0.0,125.6,21.0,78.34,8.73
2024-07-22,24.2,62.0,0.0,129.5,19.3,72.89,9.12
2024-07-23,19.2,70.1,0.6,132.0,19.7,70.21,8.45
2024-07-24,20.0,67.4,0.0,124.9,21.5,71.81,9.2
2024-07-25,22.8,66.0,0.0,127.2,16.2,68.69,9.19
2024-07-26,22.6,71.4,0.0,126.5,22.6,75.85,9.14
2024-07-27,22.5,70.1,0.2,132.2,20.1,72.28,8.43
2024-07-28,29.1,67.9,0.0,131.2,19.2,78.07,8.33
2024-07-29,22.4,65.9,0.0,127.0,19.8,72.46,8.36
2024-07-30,23.4,72.5,0.0,131.2,19.9,72.33,8.8
2024-07-31,22.9,72.0,0.0,127.2,16.5,71.21,8.96
2024-08-01,22.2,69.9,0.0,128.3,23.0,74.38,7.58
2024-08-02,20.1,75.8,1.2,137.8,20.1,71.21,8.54
2024-08-03,22.2,67.2,0.0,135.8,20.9,72.94,8.74
2024-08-04,19.0,66.0,0.9,122.3,21.9,72.42,8.39
2024-08-05,19.9,68.7,1.2,132.7,18.0,74.15,9.18
2024-08-06,19.3,70.7,0.8,132.3,20.9,72.05,8.75
2024-08-07,20.4,71.7,0.0,122.2,19.5,72.56,9.27
2024-08-08,24.7,70.4,0.3,131.8,21.7,73.58,8.62
2024-08-09,16.2,72.3,0.0,135.1,15.7,66.33,8.96
2024-08-10,21.2,67.7,0.0,121.5,19.8,69.63,9.45
2024-08-11,16.5,75.9,0.3,122.3,18.8,63.84,9.14
2024-08-12,18.7,71.4,0.0,131.7,20.9,69.4,8.02
2024-08-13,21.7,75.2,1.3,127.7,20.9,75.41,8.46
2024-08-14,19.6,73.0,0.0,128.9,18.6,71.73,8.41
2024-08-15,17.2,73.4,0.4,127.6,18.6,68.37,8.74
2024-08-16,17.8,73.9,0.5,127.6,19.8,66.03,8.85
2024-08-17,20.5,73.6,0.0,118.8,18.2,69.09,8.2
2024-08-18,17.6,74.3,0.9,130.4,21.7,70.97,8.52
2024-08-19,19.4,76.5,0.0,130.8,19.3,70.25,7.57
2024-08-20,19.0,73.2,1.3,123.6,14.2,62.96,9.23
2024-08-21,17.5,74.9,0.0,124.3,19.3,66.22,8.27
2024-08-22,23.0,72.6,0.7,116.6,17.9,71.3,8.69
2024-08-23,19.9,77.3,2.5,126.6,16.7,70.19,8.32
2024-08-24,14.5,71.0,0.0,126.7,17.5,60.76,9.01
2024-08-25,18.8,78.6,0.0,123.4,20.2,68.9,7.15
2024-08-26,17.1,73.1,1.3,129.1,22.7,70.92,8.44
2024-08-27,20.0,69.1,1.0,121.6,20.6,73.21,8.5
2024-08-28,16.7,73.8,1.2,125.9,18.8,69.03,8.21
2024-08-29,17.9,71.5,1.4,117.8,20.9,70.76,9.33
2024-08-30,19.1,76.2,1.6,122.6,19.1,67.81,8.05
2024-08-31,19.8,71.8,2.1,121.7,18.6,66.36,8.87
2024-09-01,15.6,72.5,1.5,123.5,17.7,65.37,8.57
2024-09-02,17.2,68.2,0.9,120.4,16.5,68.77,9.1
2024-09-03,16.9,72.6,1.9,121.4,19.2,70.85,8.08
2024-09-04,16.5,66.8,3.2,126.1,20.3,71.15,7.97
2024-09-05,21.2,69.4,1.2,119.6,19.8,72.74,9.12
2024-09-06,18.5,76.5,0.4,113.6,19.2,68.61,8.74
2024-09-07,15.1,76.6,2.6,130.3,18.1,65.36,7.55
2024-09-08,19.4,75.6,1.4,128.3,21.2,71.11,8.24
2024-09-09,21.7,71.5,0.0,114.8,17.4,73.19,8.85
2024-09-10,19.5,74.3,2.5,124.6,21.6,69.96,8.88
2024-09-11,14.4,74.5,1.2,118.5,18.0,67.92,8.03
2024-09-12,16.4,71.1,1.7,122.2,18.5,66.76,6.95
2024-09-13,19.9,79.1,2.2,122.3,17.1,71.31,8.75
2024-09-14,15.9,77.3,2.1,119.6,19.0,63.76,7.76
2024-09-15,18.1,74.0,2.7,116.7,22.0,71.61,7.4
2024-09-16,18.8,74.8,1.6,117.1,21.0,68.54,7.07
2024-09-17,15.3,75.4,2.6,115.9,22.0,65.14,8.74
2024-09-18,17.0,68.7,1.9,116.2,21.0,69.71,8.48
2024-09-19,10.7,74.1,3.0,120.0,17.8,64.31,8.06
2024-09-20,15.1,72.8,2.9,116.7,19.3,64.9,9.0
2024-09-21,16.6,71.9,1.5,123.6,18.4,64.48,8.74
2024-09-22,14.6,74.1,3.6,127.6,22.7,68.94,9.07
2024-09-23,20.3,80.3,2.0,117.2,17.6,68.59,7.81
2024-09-24,14.2,76.9,3.4,121.3,21.8,68.55,8.24
2024-09-25,16.1,73.3,3.0,122.6,21.8,71.28,7.52
2024-09-26,17.3,76.7,4.6,122.4,23.7,71.4,8.17
2024-09-27,19.9,79.2,2.6,120.4,19.2,73.62,8.34
2024-09-28,14.1,77.8,2.5,123.7,21.4,67.49,8.61
2024-09-29,19.3,75.2,2.9,122.4,24.6,72.66,8.46
2024-09-30,17.0,73.1,2.7,113.8,18.8,64.27,8.69
2024-10-01,15.0,77.1,3.9,124.4,16.9,65.07,8.61
2024-10-02,17.9,76.2,1.5,124.5,16.2,66.22,9.54
2024-10-03,17.4,77.7,2.2,116.2,21.4,70.89,8.26
2024-10-04,15.8,76.9,2.2,120.2,16.2,65.92,7.89
2024-10-05,17.2,78.1,4.3,123.5,19.3,66.29,8.42
2024-10-06,16.3,73.3,5.1,119.1,20.9,69.62,7.83
2024-10-07,17.3,78.9,3.4,125.5,20.4,70.57,9.09
2024-10-08,18.4,75.5,3.4,132.0,20.9,74.32,8.24
2024-10-09,20.3,81.1,3.7,116.3,20.4,72.57,8.14
2024-10-10,14.6,72.8,4.9,113.4,22.6,70.03,7.96
2024-10-11,21.4,80.0,2.8,121.9,18.1,70.71,8.86
2024-10-12,13.3,75.4,4.1,124.1,18.6,66.19,8.12
2024-10-13,16.9,72.8,4.9,119.4,18.5,70.83,7.94
2024-10-14,18.4,73.2,4.5,127.9,21.7,69.31,9.16
2024-10-15,17.8,73.7,4.2,114.0,21.8,69.67,7.9
2024-10-16,16.1,75.9,5.1,124.2,20.9,67.73,8.24
2024-10-17,16.9,76.1,1.5,117.8,22.4,69.98,8.76
2024-10-18,16.4,72.8,4.9,129.6,17.6,70.73,7.43
2024-10-19,16.3,74.4,3.6,131.1,23.3,69.95,8.55
2024-10-20,19.2,80.8,2.5,117.4,23.0,66.46,7.92
2024-10-21,18.2,79.5,4.9,118.6,21.5,69.67,8.71
2024-10-22,16.2,75.6,5.9,125.7,23.6,73.18,7.71
2024-10-23,19.4,74.3,4.4,119.6,16.7,70.1,8.71
2024-10-24,18.3,74.5,5.6,121.5,19.0,70.81,8.82
2024-10-25,19.4,75.9,6.3,122.0,18.5,70.11,8.7
2024-10-26,19.1,70.9,6.1,112.4,21.4,69.28,8.39
2024-10-27,16.2,73.1,6.4,122.1,17.9,69.12,8.05
2024-10-28,16.8,68.8,5.6,118.9,21.5,69.0,7.94
2024-10-29,19.5,75.0,5.0,120.0,22.7,77.21,9.07
2024-10-30,19.3,75.6,3.4,129.9,21.4,73.24,8.06
2024-10-31,18.1,72.1,4.8,116.5,20.6,69.2,7.78
2024-11-01,18.4,78.2,4.3,127.1,18.0,67.96,8.67
2024-11-02,20.8,69.7,7.3,121.8,18.3,72.43,7.86
2024-11-03,17.2,68.9,5.0,122.0,22.5,71.14,7.79
2024-11-04,19.5,73.9,5.4,127.5,21.6,75.22,7.59
2024-11-05,18.1,76.3,5.9,125.5,19.9,70.99,8.01
2024-11-06,18.2,78.1,5.4,126.8,19.2,68.53,8.23
2024-11-07,20.9,71.5,7.1,129.0,15.9,75.36,8.39
2024-11-08,20.4,76.0,4.9,122.7,17.9,70.82,8.84
2024-11-09,20.5,72.6,5.7,121.6,23.8,76.4,8.59
2024-11-10,21.5,72.1,4.9,119.4,17.4,70.29,8.31
2024-11-11,19.1,75.1,4.3,120.9,20.4,71.67,8.26
2024-11-12,20.5,74.3,5.1,140.0,22.0,75.52,8.61
2024-11-13,18.6,67.5,5.7,131.8,17.5,67.09,8.91
2024-11-14,20.0,76.5,5.4,119.0,20.4,75.7,8.39
2024-11-15,19.1,76.1,5.2,119.4,21.9,74.51,8.08
2024-11-16,19.7,70.0,4.5,128.7,20.0,71.62,7.87
2024-11-17,20.8,72.9,5.9,129.2,25.7,74.68,7.61
2024-11-18,18.1,73.1,4.5,129.5,16.7,69.55,8.65
2024-11-19,24.0,72.3,6.8,125.8,22.1,77.52,8.67
2024-11-20,17.9,69.7,6.2,126.7,19.7,71.84,8.52
2024-11-21,17.6,69.2,4.7,129.2,21.5,72.2,8.23
2024-11-22,22.4,71.0,5.9,128.3,20.9,76.42,9.08
2024-11-23,21.8,74.5,5.5,117.0,18.5,75.03,8.14
2024-11-24,21.6,72.4,6.6,127.2,20.5,75.6,8.8
2024-11-25,21.7,69.6,7.6,124.4,16.3,70.34,8.25
2024-11-26,20.6,72.8,4.5,129.8,21.2,76.33,8.09
2024-11-27,18.9,61.8,6.5,144.2,20.6,78.06,8.54
2024-11-28,21.0,73.7,6.2,131.4,21.3,80.86,8.52
2024-11-29,19.6,64.9,7.1,128.3,22.1,72.59,8.41
2024-11-30,23.0,68.9,6.7,134.7,20.7,77.23,8.4
2024-12-01,20.9,66.4,5.8,132.8,20.3,70.43,8.32
2024-12-02,19.6,65.8,6.2,132.8,18.2,73.68,9.47
2024-12-03,20.8,73.0,5.8,134.1,18.6,71.83,8.93
2024-12-04,22.4,67.9,7.7,141.6,22.4,82.0,8.65
2024-12-05,20.5,70.2,6.7,126.0,22.9,73.66,8.34
2024-12-06,20.1,68.9,8.6,134.3,19.5,70.88,8.68
2024-12-07,22.4,70.3,6.6,127.7,20.1,74.21,8.6
2024-12-08,22.5,68.9,6.0,135.4,18.2,70.73,8.39
2024-12-09,21.2,64.7,5.2,128.3,22.3,77.2,8.22
2024-12-10,21.4,71.4,5.0,131.2,21.3,70.6,8.35
2024-12-11,22.9,66.7,5.2,132.1,23.9,78.16,6.84
2024-12-12,19.7,63.4,7.1,138.8,18.2,69.41,8.34
2024-12-13,19.9,66.6,7.3,138.8,19.2,73.45,7.99
2024-12-14,21.4,72.2,5.3,128.3,20.5,77.3,9.17
2024-12-15,22.5,70.1,7.8,135.2,21.3,77.65,8.3
2024-12-16,23.7,66.3,6.4,131.7,19.6,74.8,7.8
2024-12-17,26.2,66.2,7.0,129.3,18.3,77.67,8.41
2024-12-18,25.1,66.1,8.5,134.8,21.8,79.89,7.8
2024-12-19,23.2,73.1,7.8,134.7,21.4,78.16,8.54
2024-12-20,23.6,67.9,6.7,148.7,18.2,74.15,8.52
2024-12-21,21.8,67.8,6.1,139.1,22.7,78.38,8.83
2024-12-22,23.9,69.5,4.8,130.4,22.3,72.01,8.08
2024-12-23,23.5,66.9,6.3,134.8,20.3,75.64,8.41
2024-12-24,24.8,65.3,6.8,143.0,20.2,77.92,7.72
2024-12-25,22.7,65.3,6.0,148.7,21.1,79.23,8.73
2024-12-26,25.5,65.5,6.9,130.7,18.3,77.37,8.68
2024-12-27,27.7,65.4,7.1,129.6,20.1,77.29,8.72
2024-12-28,24.5,67.5,6.8,148.7,15.7,74.23,8.4
2024-12-29,25.7,65.3,6.3,141.6,21.8,80.68,8.66
2024-12-30,26.4,67.2,7.2,135.7,16.9,77.36,9.24
2024-12-31,24.3,64.6,7.4,143.0,23.0,79.33,8.22
2025-01-01,25.6,65.1,5.9,127.2,19.3,76.55,8.54
2025-01-02,25.3,58.7,8.4,140.7,19.6,81.29,7.8
2025-01-03,25.6,67.2,6.9,142.7,18.7,77.46,7.99
2025-01-04,24.0,65.4,7.0,146.0,19.4,77.93,8.42
2025-01-05,25.7,67.1,7.7,136.6,22.8,85.16,8.94
2025-01-06,26.8,55.3,7.2,142.5,15.0,75.66,8.32
2025-01-07,28.9,70.1,7.9,137.8,22.6,79.31,8.35
2025-01-08,28.0,63.2,7.2,144.0,20.7,83.76,8.27
2025-01-09,30.5,66.8,6.3,138.6,17.6,79.94,8.33
2025-01-10,24.8,60.2,7.3,141.4,17.8,77.43,8.53
2025-01-11,28.3,65.0,5.8,138.8,23.4,81.39,7.81
2025-01-12,27.0,59.8,7.0,147.4,18.1,79.87,9.1
2025-01-13,31.2,60.9,6.9,148.7,17.7,86.6,8.26
2025-01-14,25.3,68.4,6.7,143.6,22.3,81.86,8.79
2025-01-15,25.4,61.9,6.7,145.3,20.7,81.88,7.79
2025-01-16,26.0,62.9,5.0,138.2,18.1,75.08,8.87
2025-01-17,23.1,64.7,6.3,144.3,20.4,75.36,8.71
2025-01-18,26.4,63.4,6.9,145.8,17.9,73.6,8.64
2025-01-19,26.1,62.2,6.9,159.5,22.2,81.17,7.94
2025-01-20,28.0,62.7,5.7,141.2,22.1,84.33,8.68
2025-01-21,28.5,68.7,8.0,154.4,21.1,84.37,7.86
2025-01-22,31.7,61.1,5.9,152.4,20.7,85.19,8.53
2025-01-23,30.0,61.7,7.7,149.1,23.5,86.11,9.03
2025-01-24,27.1,64.1,7.1,156.8,20.0,80.53,8.86
2025-01-25,26.5,64.1,6.0,150.2,17.6,79.62,8.5
2025-01-26,29.4,64.2,8.4,150.6,20.9,85.77,7.98
2025-01-27,25.9,62.4,5.4,148.7,24.2,79.29,8.83
2025-01-28,32.4,56.9,7.5,155.4,18.0,86.26,8.61
2025-01-29,31.2,65.1,7.5,155.1,19.3,86.53,7.4
2025-01-30,28.0,56.6,5.8,146.7,20.8,81.9,8.94
2025-01-31,25.6,60.8,7.8,143.6,19.9,81.61,8.37
